Date;Open;High;Low;Close
2010-01-04;1,116.56;1,133.87;1,116.56;1,132.99
2010-01-05;1,132.66;1,136.63;1,129.66;1,136.52
2010-01-06;1,135.71;1,139.19;1,133.95;1,137.14
2010-01-07;1,136.27;1,142.46;1,131.32;1,141.69
2010-01-08;1,140.52;1,145.39;1,136.22;1,144.98
2010-01-11;1,145.96;1,149.74;1,142.02;1,146.98
2010-01-12;1,143.81;1,143.81;1,131.77;1,136.22
2010-01-13;1,137.31;1,148.40;1,133.18;1,145.68
2010-01-14;1,145.68;1,150.41;1,143.80;1,148.46
2010-01-15;1,147.72;1,147.77;1,131.39;1,136.03
2010-01-19;1,136.03;1,150.45;1,135.77;1,150.23
2010-01-20;1,147.95;1,147.95;1,129.25;1,138.04
2010-01-21;1,138.68;1,141.58;1,114.84;1,116.48
2010-01-22;1,115.49;1,115.49;1,090.18;1,091.76
2010-01-25;1,092.40;1,102.97;1,092.40;1,096.78
2010-01-26;1,095.80;1,103.69;1,089.86;1,092.17
2010-01-27;1,091.94;1,099.51;1,083.11;1,097.50
2010-01-28;1,096.93;1,100.22;1,078.46;1,084.53
2010-01-29;1,087.61;1,096.45;1,071.59;1,073.87
2010-02-01;1,073.89;1,089.38;1,073.89;1,089.19
2010-02-02;1,090.05;1,104.73;1,087.96;1,103.32
2010-02-03;1,100.67;1,102.72;1,093.97;1,097.28
2010-02-04;1,097.25;1,097.25;1,062.78;1,063.11
2010-02-05;1,064.12;1,067.13;1,044.50;1,066.19
2010-02-08;1,065.51;1,071.20;1,056.51;1,056.74
2010-02-09;1,060.06;1,079.28;1,060.06;1,070.52
2010-02-10;1,069.68;1,073.67;1,059.34;1,068.13
2010-02-11;1,067.10;1,080.04;1,060.59;1,078.47
2010-02-12;1,075.95;1,077.81;1,062.97;1,075.51
2010-02-16;1,079.13;1,095.67;1,079.13;1,094.87
2010-02-17;1,096.14;1,101.03;1,094.72;1,099.51
2010-02-18;1,099.03;1,108.24;1,097.48;1,106.75
2010-02-19;1,105.49;1,112.42;1,100.80;1,109.17
2010-02-22;1,110.00;1,112.29;1,105.38;1,108.01
2010-02-23;1,107.49;1,108.58;1,092.18;1,094.60
2010-02-24;1,095.89;1,106.42;1,095.50;1,105.24
2010-02-25;1,101.24;1,103.50;1,086.02;1,102.94
2010-02-26;1,103.10;1,107.24;1,097.56;1,104.49
2010-03-01;1,105.36;1,116.11;1,105.36;1,115.71
2010-03-02;1,117.01;1,123.46;1,116.51;1,118.31
2010-03-03;1,119.36;1,125.64;1,116.58;1,118.79
2010-03-04;1,119.12;1,123.73;1,116.66;1,122.97
2010-03-05;1,125.12;1,139.38;1,125.12;1,138.70
2010-03-08;1,138.40;1,141.05;1,136.77;1,138.50
2010-03-09;1,137.56;1,145.37;1,134.90;1,140.45
2010-03-10;1,140.22;1,148.26;1,140.09;1,145.61
2010-03-11;1,143.96;1,150.24;1,138.99;1,150.24
2010-03-12;1,151.71;1,153.41;1,146.97;1,149.99
2010-03-15;1,148.53;1,150.98;1,141.45;1,150.51
2010-03-16;1,150.83;1,160.28;1,150.35;1,159.46
2010-03-17;1,159.94;1,169.84;1,159.94;1,166.21
2010-03-18;1,166.13;1,167.77;1,161.16;1,165.83
2010-03-19;1,166.68;1,169.20;1,155.33;1,159.90
2010-03-22;1,157.25;1,167.82;1,152.88;1,165.81
2010-03-23;1,166.47;1,174.72;1,163.83;1,174.17
2010-03-24;1,172.70;1,173.04;1,166.01;1,167.72
2010-03-25;1,170.03;1,180.69;1,165.09;1,165.73
2010-03-26;1,167.58;1,173.93;1,161.48;1,166.59
2010-03-29;1,167.71;1,174.85;1,167.71;1,173.22
2010-03-30;1,173.75;1,177.83;1,168.92;1,173.27
2010-03-31;1,171.75;1,174.56;1,165.77;1,169.43
2010-04-01;1,171.23;1,181.43;1,170.69;1,178.10
2010-04-05;1,178.71;1,187.73;1,178.71;1,187.44
2010-04-06;1,186.01;1,191.80;1,182.77;1,189.44
2010-04-07;1,188.23;1,189.60;1,177.25;1,182.45
2010-04-08;1,181.75;1,188.55;1,175.12;1,186.44
2010-04-09;1,187.47;1,194.66;1,187.15;1,194.37
2010-04-12;1,194.94;1,199.20;1,194.71;1,196.48
2010-04-13;1,195.94;1,199.04;1,188.82;1,197.30
2010-04-14;1,198.69;1,210.65;1,198.69;1,210.65
2010-04-15;1,210.77;1,213.92;1,208.50;1,211.67
2010-04-16;1,210.17;1,210.17;1,186.77;1,192.13
2010-04-19;1,192.06;1,197.87;1,183.68;1,197.52
2010-04-20;1,199.04;1,208.58;1,199.04;1,207.17
2010-04-21;1,207.16;1,210.99;1,198.85;1,205.94
2010-04-22;1,202.52;1,210.27;1,190.19;1,208.67
2010-04-23;1,207.87;1,217.28;1,205.10;1,217.28
