Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,89.965,90.844,89.896,90.662,10444365,0
2010-01-05,90.619,90.671,90.076,90.517,7618938,0
2010-01-06,90.526,90.827,90.402,90.578,7906664,0
2010-01-07,90.418,90.973,90.059,90.904,7341865,0
2010-01-08,90.671,91.049,90.473,91.049,5712379,0
2010-01-11,91.297,91.52,90.801,91.417,7975436,0
2010-01-12,90.827,91.314,90.593,91.076,10321190,0
2010-01-13,91.236,91.808,90.991,91.6,10024398,0
2010-01-14,91.503,91.944,91.45,91.839,8187464,0
2010-01-15,91.765,91.8,90.56,90.965,16313898,0
2010-01-19,90.871,92.011,90.835,91.966,12653526,0
2010-01-20,91.385,91.417,90.215,90.973,13843573,0
2010-01-21,90.93,91.049,88.994,88.994,25878670,0
2010-01-22,88.707,89.122,87.135,87.204,28625359,0
2010-01-25,87.859,87.973,87.24,87.445,21209660,0
2010-01-26,87.231,88.435,87.076,87.419,21349057,0
2010-01-27,87.24,87.964,86.658,87.782,18847997,0
2010-01-28,88.032,88.058,86.252,86.839,15598945,0
2010-01-29,87.144,87.833,86.164,86.277,16942538,0
2010-02-01,86.848,87.825,86.724,87.383,11611937,0
2010-02-02,87.48,88.47,87.25,88.279,10358715,0
2010-02-03,88.058,88.435,87.816,88.067,7634139,0
2010-02-04,87.48,87.582,85.822,85.849,19093722,0
2010-02-05,85.94,86.101,84.4,85.95,33658651,0
2010-02-08,85.814,86.137,85.056,85.142,12709758,0
2010-02-09,85.95,87.085,85.673,86.364,22361638,0
2010-02-10,86.277,86.641,85.596,86.26,13038422,0
2010-02-11,86.174,87.306,85.7,87.161,11556054,0
2010-02-12,86.26,86.983,85.804,86.897,15866246,0
2010-02-16,87.531,88.359,87.169,88.219,10419854,0
2010-02-17,88.52,88.76,88.342,88.707,10219819,0
2010-02-18,88.527,89.499,88.52,89.388,10091149,0
2010-02-19,88.984,89.58,88.732,89.234,10843272,0
2010-02-22,89.57,89.57,88.994,89.106,6152901,0
2010-02-23,88.911,89.363,88.117,88.27,12573183,0
2010-02-24,88.536,89.203,88.375,88.984,11233936,0
2010-02-25,87.739,88.675,87.454,88.641,11691470,0
2010-02-26,88.683,88.911,88.193,88.641,8101754,0
2010-03-01,88.957,89.414,88.884,89.261,6767557,0
2010-03-02,89.614,89.794,89.203,89.252,6602400,0
2010-03-03,89.543,89.904,89.096,89.32,6854152,0
2010-03-04,89.449,89.735,89.211,89.676,7180784,0
2010-03-05,90.092,90.756,89.992,90.748,7857598,0
2010-03-08,90.716,90.922,90.526,90.601,6666564,0
2010-03-09,90.473,91.151,90.445,90.708,10084867,0
2010-03-10,90.801,91.076,90.418,90.756,8524917,0
2010-03-11,90.646,91.202,90.301,91.193,9011022,0
2010-03-12,91.503,91.537,91.066,91.314,11792469,0
2010-03-15,91.211,91.494,90.844,91.443,7862090,0
2010-03-16,91.626,91.918,91.305,91.874,7971467,0
2010-03-17,92.085,92.56,92.011,92.253,8130832,0
2010-03-18,92.263,92.698,92.211,92.625,8724669,0
2010-03-19,92.78,92.819,91.747,92.103,14033711,0
2010-03-22,91.774,92.728,91.747,92.493,10274620,0
2010-03-23,92.698,93.458,92.529,93.425,10589092,0
2010-03-24,93.113,93.367,92.857,93.011,8228703,0
2010-03-25,93.52,93.977,92.937,93.048,11083255,0
2010-03-26,93.208,93.587,92.78,93.04,10309018,0
2010-03-29,93.349,93.668,93.247,93.458,6845057,0
2010-03-30,93.539,93.85,93.247,93.641,6723496,0
2010-03-31,93.377,93.568,92.947,93.199,7070965,0
2010-04-01,93.74,94.024,93.235,93.763,13343444,0
2010-04-05,94.034,94.275,93.744,94.158,4937699,0
2010-04-06,93.911,94.275,93.763,94.148,5129915,0
2010-04-07,93.996,94.129,93.113,93.578,12670148,0
2010-04-08,93.285,94.014,93.094,93.841,10192801,0
2010-04-09,93.967,94.449,93.875,94.439,6998507,0
2010-04-12,94.498,94.699,94.367,94.535,5077710,0
2010-04-13,94.384,94.757,93.977,94.594,7100312,0
2010-04-14,94.894,95.51,94.747,95.48,9288434,0
2010-04-15,95.305,95.783,95.267,95.722,10079242,0
2010-04-16,95.461,95.673,94.129,94.535,25715479,0
2010-04-19,94.256,95.161,94.168,95.092,12189959,0
2010-04-20,95.434,95.606,95.045,95.315,10355171,0
2010-04-21,95.353,95.673,94.961,95.375,10602125,0
2010-04-22,94.904,95.683,94.508,95.538,11568372,0
2010-04-23,95.48,96.133,95.277,96.066,16135055,0
2010-04-26,96.19,96.587,96.113,96.171,9328680,0
2010-04-27,95.895,96.259,94.158,94.275,23117367,0
2010-04-28,94.699,95.092,94.12,94.847,17254180,0
2010-04-29,95.19,96.095,95.171,95.83,8689755,0
2010-04-30,95.934,96.095,94.422,94.468,17000302,0
2010-05-03,94.866,95.944,94.866,95.702,9687061,0
2010-05-04,94.821,94.837,93.276,93.831,23161979,0
2010-05-05,93.143,94.005,92.885,93.357,21979042,0
2010-05-06,92.986,93.659,85.091,90.325,40032750,0
